experiment_name,condition,round,num_seeds,cooperation_rate_mean,cooperation_rate_ci95,defection_rate_mean,defection_rate_ci95,avg_reputation_mean,avg_reputation_ci95,reputation_variance_mean,reputation_variance_ci95,avg_temperature_mean,avg_temperature_ci95,avg_payoff_mean,avg_payoff_ci95,social_welfare_mean,social_welfare_ci95,action_entropy_mean,action_entropy_ci95
test_minimal,reputation_piecewise,254,5,0.84,0.04801,0.16,0.04801,0.662284,0.0525,0.022299,0.007378,0.4924,0.072778,2.8,0.107354,28.0,1.073536,0.430275,0.084171
test_minimal,reputation_piecewise,255,5,0.8,0.061981,0.2,0.061981,0.658488,0.043161,0.020626,0.003122,0.5264,0.067626,2.8,0.061981,28.0,0.619806,0.487431,0.089923
test_minimal,reputation_piecewise,256,5,0.72,0.179637,0.28,0.179637,0.634767,0.033416,0.019438,0.008681,0.5044,0.056224,2.64,0.32562,26.4,3.256197,0.508981,0.14882
test_minimal,reputation_piecewise,257,5,0.72,0.073336,0.28,0.073336,0.617072,0.03375,0.021008,0.009407,0.471,0.054599,2.68,0.14403,26.8,1.4403,0.579109,0.06679
test_minimal,reputation_piecewise,258,5,0.72,0.09602,0.28,0.09602,0.602454,0.028609,0.022854,0.009076,0.4348,0.054216,2.68,0.1568,26.8,1.568,0.566138,0.120449
test_minimal,reputation_piecewise,259,5,0.66,0.0784,0.34,0.0784,0.574717,0.038547,0.019908,0.008518,0.4284,0.036776,2.58,0.1568,25.8,1.568,0.62606,0.065936
test_minimal,reputation_piecewise,260,5,0.76,0.132934,0.24,0.132934,0.577532,0.063458,0.017535,0.010086,0.4164,0.017798,2.76,0.132934,27.6,1.329337,0.479029,0.240975
test_minimal,reputation_piecewise,261,5,0.74,0.099941,0.26,0.099941,0.575575,0.053828,0.020614,0.006315,0.4122,0.065642,2.66,0.181763,26.6,1.817629,0.544045,0.120353
test_minimal,reputation_piecewise,262,5,0.8,0.061981,0.2,0.061981,0.588703,0.048828,0.022913,0.009614,0.3962,0.071687,2.72,0.14403,27.2,1.4403,0.487431,0.089923
test_minimal,reputation_piecewise,263,5,0.8,0.123961,0.2,0.123961,0.599337,0.056044,0.023269,0.01637,0.4498,0.073009,2.76,0.170869,27.6,1.708688,0.431535,0.23765
test_minimal,reputation_piecewise,264,5,0.72,0.073336,0.28,0.073336,0.587847,0.045341,0.023361,0.01185,0.4372,0.0553,2.64,0.132934,26.4,1.329337,0.579109,0.06679
test_minimal,reputation_piecewise,265,5,0.74,0.04801,0.26,0.04801,0.582521,0.041593,0.021173,0.007871,0.4598,0.043675,2.7,0.107354,27.0,1.073536,0.56668,0.053033
test_minimal,reputation_piecewise,266,5,0.86,0.099941,0.14,0.099941,0.607232,0.045682,0.018641,0.006368,0.4188,0.047119,2.82,0.168606,28.2,1.686056,0.352287,0.202927
test_minimal,reputation_piecewise,267,5,0.9,0.061981,0.1,0.061981,0.637771,0.028991,0.01768,0.003565,0.44,0.052409,2.9,0.061981,29.0,0.619806,0.29513,0.159189
test_minimal,reputation_piecewise,268,5,0.9,0.061981,0.1,0.061981,0.662962,0.025158,0.015201,0.001469,0.493,0.027475,2.9,0.061981,29.0,0.619806,0.29513,0.159189
test_minimal,reputation_piecewise,269,5,0.8,0.205567,0.2,0.205567,0.660617,0.048333,0.017368,0.00753,0.517,0.031997,2.68,0.435632,26.8,4.356318,0.364716,0.218966
test_minimal,reputation_piecewise,270,5,0.74,0.159231,0.26,0.159231,0.642834,0.038929,0.020425,0.008853,0.5154,0.05584,2.66,0.252528,26.6,2.525283,0.503345,0.15703
test_minimal,reputation_piecewise,271,5,0.8,0.061981,0.2,0.061981,0.643086,0.046532,0.020131,0.007211,0.481,0.057928,2.76,0.132934,27.6,1.329337,0.487431,0.089923
test_minimal,reputation_piecewise,272,5,0.74,0.132934,0.26,0.132934,0.630247,0.050196,0.024527,0.006718,0.484,0.071305,2.66,0.220009,26.6,2.200095,0.52598,0.121471
test_minimal,reputation_piecewise,273,5,0.68,0.130012,0.32,0.130012,0.600863,0.047815,0.018782,0.004738,0.4774,0.067307,2.6,0.214707,26.0,2.147072,0.582594,0.130239
test_minimal,reputation_piecewise,274,5,0.76,0.0784,0.24,0.0784,0.600612,0.045377,0.023339,0.007199,0.432,0.04312,2.72,0.130012,27.2,1.300117,0.531616,0.109542
